monolingual,Sub-task B
pyar wyar sab धोका पढाई moka,1
this very beautiful तथा छोटी choti bat esi batai gai bdi बड़ी प्रेम story मुड़ा gya jaise uska har bar bag lena ldki bag चेहरा lal gya kndha kehna akele aane खुस hone जगह gussa esa hota real life,1
sir death note anime karo,1
proud brother aajkal sachcha pyar karne per honesty commitment expect karna male domination samjha jata haijabki apane pyar per haq hona lazimi her insaan bardasht kar pata dhokha uss insaan jisse bahut pyar karta bahut,1
puri maar kabir singh maa naki shaka,0
arudhnti roy ghatiya patrakar,1
देश संसद कानून बनाकर समलैंगिकता गैरकानूनी बना देना चाहिए हमारे देश हमारे समाज दोनो घातक है। भारत यूरोपीय देश नही।,1
pratik borade bharosa acchi baat andha bharosa nhi,1
pratik papa maa saath jaa sakte baar reply kijiye,1
usne diya gaali,1
kha,1
jio मालिक jio,1
sahi kaha,1
नपुंसकों chhakkon koi jagah army नपुंसक chhakke bar kothe jaae,1
kabir singh सिर्फ सिर्फ seekh मिलती श्रेष्ठ मित्र हमेशा मदद kro अन्यथा खराब,1
कुत्ता kya ghar kown aata,1
मान गयासच maan gayam तोह fan,1
kya लगा रखा फूल 377 सुब मजाक बना,1
आपका हॉलीवुड बारे कहना पसंद सफल तोह achha,1
सोचा मेरी जयपुर वाली फूल,1
सबको बोलने but जनता hugne adhikaar,1
प्ल्ज़्ज़्ज़्ज़ अभिनीत गिरोह नेता kijiye,1
अच्छा मेरे मित्र मेरे नाम bollywood आदमी janudi रखना चाहिए निकल तुम वीडियो बनाओ mere दोस्त मेरे होश,1
bsdk चूतियापे चाबुक अछि बुरी फालतू बकवास,0
baat चाहिए ऐसा क्यूंकि लगभग पुरुषों जाते सेना prcnt समलैंगिक कहाँ वहां वातावरण बेरोज़गार क्र देंगे तथा हमारे देश गलत,1
हिन्द महोदय,1
महोदय रोडीज़ वास्तविकता बारे वीडियो बनाओ बकज़ यूएसएस प्रदर्शन पुरे जवानी distroy,1
आकर फिल्म होक चली गयी तेरे वीडियो घंटे faraq पड़ने वाला पड़ा पड़ेगा,1
झूट उसने,1
लुन टांग चीज़ माडेर छोड़,0
मीडिया बनाई मीडिया εκτρφα समाचार दिखती लल्लनटॉप,1
राजदीप भ्रष्ट आदमी,1
गलत गलत फ़िल्म बॉलीवुड लायक बंदा जबरदस्ती लिंग हेरोइन सेल्फ एस्टीम सिनेमा कबीर सिंह अच्छी फिल्म होगी करैक्टर विशेषताएं हेरोइन दिखाना गलत,1
अंतरिक्ष औचित्य साबित नारीवादियों लॉड रहेंगे,0
लाइन श्रेष्ठ तोह झंड नहीं।,1
वही विचारधारा मेरी हैऔर मेरे छुट्टिया दोस्त बड़े सिंह बड़े सिंह करर,1
मेरेको समझ नयी तोह जून इतना देर क्यों,1
बड़े गाओ तुम घटिया इसलिए अनुपस्थित देखि bekkar मोम पैसे बर्बाद लाल कप्तान देखो अछि,1
badwoe जगाए गंदगी पंक्ति राखी वहां,0
बदलापुर विश्लेषण करो बिक्री,1
देश छुड़ा बीसी हिला,0
क्यु समय बेकार गैंग्स गैंग्स जेबी भारत बॉलीवुड क्रिकेट लोग चुटिया बनगे,1
उदारवादी नारीवादी भोसड़ा,0
मैं अनुमान विशेष सेना बटालियन जिसमे hisb प्रशिक्षण साकी ओपन स्कूल योग्यता हिसाब काम सौपा तथा sake,1
काम,1
sahi,1
mene abhi देखि kiya yar,1
autowala jaato ज्यादा ज्ञान,1
समलैंगिक आनंद लें कराय human दौड़ विलुप्त bacchay पैदा सीधे ठेका kya even straights should boycott प्रसव,1
meine saal bollywood movies bollywood gaane sune only english song and hollywood movies bus,1
guruji,1
dam bat mai,1
are pratik bola karo kitna bolte bolo kitna bolte tum,1
कारणों समलैंगिकों आर्मी स्वीकार लेना चाहिए अमरीका वैध चूँकि सुप्रीम कोर्ट इजाजत कोर्ट सम्मान वजह तीसरी वजह हमें चाईना इस्लामी देशों विपरीत दिखने ऐसा चाहिए,1
homosexual saal tak training dene baad unko army bheja jaye jisse unke ander puri traha desh bhakti aye woh desh liye samarpit,0
suchitra tyagi keh bade aaram pratik mota rocked fake feminazis got socked keep अच्छा work,1
yeh movies shows barbad rkkha,1
mera toh trailer mann bhar gaye thaa,1
ranga billa,1
बीवी मित्रता झंडे,1
किरण राउत चाभी,1
assamse,1
इसको हटाओ,1
साहबक्यों हरियाणा जाटों खरब क्र,1
वही सोचा देखने baad आखिरकार ऑक्सीजन राय मेल खाते,1
परिवार मान तथा परम्परे नाम भेदभाव,1
overacting betichodo,0
बिल्कुल प्रतीक,1
वीडियो देखिये अंक हजारों बैठक कक्ष उदार हमें घटिया पश्चिमी विचारधारा जरुरत,1
बेरियाआ,1
प्रतिक,1
सुनील rinkuvanshupreetmaroshanlal इतना tukda करूंगा बीएस moka तलाशःह्ह्ह खून जबतक piyuga tak जंजीर बैठूंगा moka बीएसएस mokaaaa,1
बंद बजा बॉलीवुड,1
निश्चित खड़ा राजा चुप रहो खरीफ kharidleve,0
bahnchod बॉलीवुड अच्छी खड़ा यूपी comedy हॉलीवुड वेब श्रृंखला,0
0355 httpswwwyoutubecomwatchv=zzsaudkxq1m&t=3m55s समलैंगिकों प्रति चाचा बेवकूफ उल्टा चोर kotual daante,1
बनाओ,1
<httpsyoutube7ankx825j68> दिमाग गायक बढ़िया chenel,1
तुम tera इरादा कुंजी हैंमैं देख hoon तेरा वीडियो मुख्य आतंकबादी पॉलिटिक्स आपका बड़े sing आतंकबादी चर्चा,1
मिश्रा बीटा गालिया बकने तेरे अनजान कड़ाही नज़र आरहातेरी मर्द ग़लतफ़हमी हमें होगी समलैंगिक तेरी गांड मारेगाऔर संदेह दिल्ली आजाओ,0
**भाई चुटिया बता बार सबको**,1
उल्लंघन veere wedding तोह nhi फूल,1
रामाधीर इसलिए iss देश सिनेमा लोग चुटिया 🤡bante रहेंगे,1
बिल्कुल चुप विश्व सुब श्रेष्ठ बड़े सिंह cloudberry दिए यार शहीद मानव जिंदगी relete krte,1
चौकीदार चीज़ गांडू,0
मेरे पिता मादरचोद gyan खाना छोड़,0
अमित मालवीय टुकड़े मांगता भारत कहाँ रहना बताते tum अरुंधति मांगती टुकड़े यूट्यूब खोज करलो शहरी नक्सल रहना बोले,1
ज़्यादा फ़िक्र रही समलैंगिक यद्यपि आईटी unshe मरवाओ भूतपूर्व देश मस्त रहो,0
जांद लकिन मैंने चुतियो सामने जबान खोली holuga,1
अछि लगी,1
अभिषेक कुमार लोगो तर्क कमज़ोर आवाज़ ऊँची करके अभद्र भाषा इस्तमाल करके तर्क कमी ढकने कोशिश हैं।,1
कटाई kakashi jaisa gaya kabir रिन मौत,1
धन्यवाद आपका हिंद,1
samjha यार आखिरकार। log pagal gaye kabir singh banke,1
sahi kaha rahe rishi muni veero bhumi sabh kya raja hain,1
are madarchod mai kabir singh chod diya teri bhn kya kru chli gyi thina,0
law banate unka koi kuch socho,1
pratik borade sir plz top best and worst movies 2016 video banayia kaafi time bol raha plz bana plzzzzzzzz,1
the shirt baht badhiya,1
apka bolne style gajab,1
दुर्भाग्य राखी सावंत टाइप लड़कियाँ फेमिनिस्ट ज़्यादा करती मिलेगी। महिला नाते मैं इनकी साइकोलॉजी अच्छे तरीके समझती हूँ पास ऐसी विक्षिप्त महिलाओं देखती हूँ पुरुष सिवाय कुत्ते नही समझती।,0
wait insaan yeh kaha nature chij bnai usko vaise rehne hna muje btao pollution vgrh kyu fail rha nature insaan bnae insaano gand दाल diya muje thora बताना,1
film bekar,1
"""जब tak bollywood log chutiye बनते रहेंगे""",1
maine 2019 सिर्फ din dekhi theatre nhi जबरदस्त हंसी,1
**yhe channel tak mere nazaro kaise bacha rah gaya going सदस्यता,1
रियाल अच्छा,1
अरुन्दति रॉय ज़िंदाबाद,1
गौरी nawathe आईटी पसंद लड़की ढेर कहाँ kaise सोच लेती all पुरुषों वही पुरुषों dogs वैसे तुम वही रही दीदी तुम्हारी faridabad स्वच्छ करो तुम sab मिलके पूरे भारत लाइन भारत सुरक्षित महिलाएं केलिए जबरदस्त हंसी,1
किसको किस्से तुलना तुलना वही स्तर जाता,1
mgtow वीडियो बनाओ,1
raull raull 🤘🤘🤘,1
वीडियो बिना देखे बता लोग सहयोग करेंगे समलैंगिकता संपादित पूरी वीडियो देखि सिर्फ bnda लगा धूसर कमीज स्वास्थ्य प्रेम ऑस्ट्रेलिया,1
चुटिया,1
वीडियो pls दुनिया घटिया pink pls।,1
avi कुशवाह,1
fine kya बकवास,1
मर्दो मर्दानगी larki धमकाना बलात्कार मजबूर,1
सौरभ महोदय अरुंधति रॉय भारत मतलब num विरोधी सामाजिक तत्त्व एच।,1
सौरव कुमार चूतिये बोलता अकेला hindu थोड़ा सर्द क्र,1
मैं सोच मैं बजे the केवल ksso बड़े सिंह पसंद कचरा बीसी नींद aaa gyi थिएटर प्रतीक चिन्ह अरे संजाति विषयक प्रचार बना अलग lgga अंजीर देखनी थिएटर कक्ष समय खराब छुट्टी दिन नागरिक बड़ी मुश्किल स्वाद मिलती,0
are उदारवादी अलगाववादियों फर्क,1
इसलिए बॉलीवुड लोग चुटिया बनते रहेंगे,1
chutiya,1
तेलुगू अर्जुन रेड्डी पुनर्निर्माण,1
उभयलिंगियों वही लिंग तरफ आकर्षण क्यु,1
कबीर सिंह मूल telugu देखोआप जायेगा,1
श्री राम वनडे मातरम,1
वीडियो देखिये,1
tinto मचान तेरे तेरे बाप विध्वंस चला बाहर शर्म आती दुब मारो कही जेक lagta गुंडा krke तथ्य गयी तुमलोगो,1
सादाब alam बड़े singh लोग वास्तविकता हुंह successful सिर्फ flim वास्तविकता ऐसा वास्तविकता जिओ,1
ऑटो भैय्या the श्रेष्ठ,1
autowala भैया,1
गीत pasand आया,1
मज़ा बॉस,1
kahe भैया महान क्योकि south पुनर्निर्माण bollywood तर्क लगाया unke paas,1
bokowas गीत,1
bada bhaiya बातो sehmat,1
kitna ghatiya तरीके kiya,1
bilkul vivek istemaal khud krta isliye aapke opinion disagree but film liye thanks,1
areyyyyyyy bhaiiiii 1010,1
inki maa chut,0
gaurav reply,1
akshay khanna perfect his acting always,1
bahut acche bole sirf baat kahunga afzal guru terrorist usko support karna galat lekin pragya singh thakur terrorist aaj woh public vote bana kya yeh galat,1
98% dawury casesh zhuunt,1
tera मिनट देखने acha film dekh,0
sir updated jankari dete hain usse hindi mein,1
अरुंधति रॉय नाम रंगा बिल्ला बाप नाम बागड़ बिल्ला माँ नाम भीगी बिल्ली बहन नाम खिसियानी बिल्ली,1
bhikh manngoo tum tum aihi deserve karte,1
video gay galat sabit kiya raha aisa aisa hotaso bad video,1
first scene without consent sex try krta bewakoof kehta kuch galat nhi,1
rly yaad hay भूल gaye,1
chordo apne cheez आगे जाने रही देश,1
story $$$$$$,1
गांडू,1
साधारण इंसान जैसी movies banaenge तोह flop jayegi बॉलीवुड मादरचोदो पैसे कमाने तोह बकचोद तोह दिखाएंगे,0
नारीवादी अच्छी विचारधारा amirjadi extrime नारीवादी babava जिसकी हमे जरुरत sigri पीना लिंग विभिन्न साथी दोनों लाइन आधा होनी चाहिए खुद नुक्सान phuchate नारीवादी दिमाग लकवा मरना नीलकंठ नारीवादी equallty सहयोग करती bhebhaw बराबरी आदर मिले बराबरी pament मिले बराबरी भाग लिया बाप सम्हालने लाइन सिर्फ लड़के kyu बाप अस्पताल बिल भरे बेटी भरे कहाँ पसंद रही अनेक वसीयत समानता मर्दो औरतो सम्मान देना मर्दो नफरत,1
गुजराती लोगो खाना बोलना तेरी भूमि तुझे मोदी तेरा बाप,0
लगभग रुको क्र वीडियो आखिरकार,1
अंक काफी सहमत,1
ज्यादा गरम मालिक,1
vestal असली नाम suzanna अरुंधति खुल्ला खुल्ला जूठ बोलने देश धमकाना सीख रही हैठूंसो कला पानी mescurry दूर suzi doozy loorun दूर कस्तूरबिल्लारेपिस्ट बलात्कार औलाद yeh देश द्रोही पगला चुके कोशिकीय बीमारी पीड़ित हैंब्रावो मधुजी वाहवाही नूपुर,0
लाइव हर्षद हिन्दू बनो बलात्कारी भक्त,1
आज़ादी जान समुद्र साहड़ी भाग जाओ इतनी takad sako लड़के प्रेम मानव,1
वाह आईटी महान पुरुष,1
बड़े सिंह बास अचे,1
समलैंगिक जवानो गांड देख कही मचल जाये इसलिए इन्हे दूर रखना चाहिए,0
मुलाकात uncle जाट dhuba,1
उत्तम कीजिये,1
achche vichaar,1
प्रतिक आपने 100% लोग दिमाग ाँधे फ़िल्म मनोरंजन विशुद्ध रूप कल्पित कल्पनाशील परंतु वास्तविक बने iss liye फ़िल्म फ़िल्म देखो उसको व्यक्तिगत रूप अच्छी niklo बुरी nikal बार रखो जनता मनोरंजन भागने,1
अछि चरित्र औचित्य साबित खाना करो नारीवादी liberals chutiye तुम तीसरे प्रकार 1where प्यार क्र sakta प्रीती अलावा खाना தாரக कहाँ अभिनेत्री मैं love nhi बोलती मस्त ठोकता कहाँ usko preeti bina consent girlfirend book leta kiss deta bina consent ladki maan jati nhi pyar balatkar hatametaphoricallyye haraasment bullying,0
hmm,1
ekdam sahi kaha apne chutiya logic tha puri,1
bol yeh rahe par shabd hamare matlab dil baat bol aapne mere baare and bollywood general,1
number gandu kabir singh,1
dhruv mehra joker bad comedians image khrab huyi hogi,1
ranu mondol fir bhikari ban jaayegi,1
mene apke jati suchak shabd kehne desh barbad aap rhe,1
aap soch bahot achhi kuch pagal log vajas log film buri kahte par bat kaheta log entertainment karte kuch bolte rahte mese kuch aache thoughts achhi bate unmese sikhte युवा people kuch achi bate mese lene aate sirf usi पसीना वीडियो बनाते रहए achhi मारो achhi सोच बुरा uska फर्क ashi मारो sikhate रहिये नीलकंठ श्री ram,1
bolte बोलते thanks hollywood देखा उड़ान,1
चलो अक्ल आयी,1
जनता model बीआई bdee निदेशक fssaa जाती साधारण आदमी jail hii जाएगा,1
तेरे नाम yahi,1
bekar विसंगत heroin bechari पूरी eik diolouge हेरोइन चित्रकला aese किआ jese buht वास्तव sawatri first दिन नायक kiss किआ रोज lecture bunk किआ लड़के छात्रावास mei खिसक जाना huwi 550 बार लिंग किआ fast तेज लड़कीओ ज़यादा तेज larki इतनी मुहब्बत kisi शादी क्ष shadi शहीद aaya हमें गयी शादी faisala baad शादी ghar भागी क्ष bhag gayi thi शहीद paas aayi क्ष बकचोदी irrelatable,0
rhne tujhse पायेगा,1
कहीं तोह milegi कभी तोह मिलेगी तोह kal माफ़ करना। not माफ़,1
arundhati फांसी होनी chahiye,1
puri बच्चा baby बच्चा दूसरा संवाद,1
wah,1
रैंडी kon paise देताहै hindustan खिलाफ करती,1
प्रतिक borade jyse वीडियो कहाँ aap राय जरुरी सहमत aysa कहना समझदार मेरी राय जरुरी मुझसे सहमत soooo सर्द yaarrr,1
kese गवर लोग bhare pade study videos ट्रांसजेंडर समलैंगिकता बीच अंतर nhi समझ आता देश सुरक्षा भाषण juadne,1
bollywood mirror दिखा haitoh वोह एहि,1
गुस्सा toh hume feminist लोगो,1
एकदम aahi sir aapne,1
kya mila,1
#fakefeminist httpwwwyoutubecomresultssearch_query=%23fakefeminist kuch nai,1
dislike karne wale maa भोसड़ा,0
फेमिनिस्ट लिबरल्स माँ बहन चोद डालो,1
bro baat apki isme logo glti agr trh dekho shi ese toxic charecter zindgi utarne zindgi jhnd hogi saari gaano chli agr aap dekhe jisme gaane skip krde yeh kuch nhi rhega,1
sadikaysamaykahathay,1
awesome liberals liye deko 1114httpswwwyoutubecomwatchv=j2j5sssp5yq&t=11m14s,1
india agr dikhaya lovestory saale auditions flop kar denge,1
sali hulia dekho,1
tik tok chutiyapa,1
ignore this rascal bro sab pagal banayega,1
allah gay god and muhammad his husband,0
अच्छी लगी वीडियो,1
"""aur laundey kaisa bole kro bhaiya missed बहुत।",1
paise liye mensutra chod hindi channel gya,1
flevia agnes नेहा gupta aap aap privar dhara 498 durpyog sikar nhi hui,1
hut ragdo पीछे डलवाओ377,0
dadhi तोह पूरी bana वर्षों,1
महा chutiyapay film kabir singh आईटी totally bullshit,1
पानी roy,1
nhi,1
जिंदगी मेट्रो फ़िल्म कीजिये,1
ज़िन्दगी pehli बार,1
silly विवाद करनेवाला बेकार रही नारीवादी bareme wahape reply रही,1
जबरदस्त हंसी मस्त वीडियो friends मेरे चैनल यात्रा जाए मेरा न्यू वीडियो देख़ो thanks देश mother खुश मोटगर'स प्ल्ज़ dekho,1
sye,1
उत्तम 1st दर्शक,1
नारीवाद baatein करके खुद hench गाली देरहा पाखंडी,1
मस्त,1
इसलिए भारत cinema रहेगा लोग चुटिया बनते रहेंगे,1
तुम्हारी कैटफ़िश,1
थोक,1
महोदय आवाज़ फ़िल्म देना चाहिए,1
शायरी whatsapp स्थिति मतलब,1
गदा आयाएंकर साहब फिल्म देखने मनोदशा raha,1
मेरा 🤘🤘🤘🤘,1
वाह झांड़ लगीलेकिन किसीको boltahu बिक्री दोस्त दया जाते कक्ष अकेला diya मेरेको,1
जोकर बारे,1
आपको बाएँ दांए संकल्पना स्पष्ट karna चाहिए वीडियो देखिये <हत्तपःयौतुबेैंडब772ुजसु>,1
bilkul,1
nan,1
मैं हूँ समलैंगिक boyim httpboyim स्टूडेंटसब समलैंगिक होतेमगर बड़ी इससे बैंड गरम हैी पसंद गरम,1
बढ़िया आपने,1
एकदम,1
उदारवादी आतंकवादी सहानुभूति knockers मरने वालो सहानुभूति लाते मोदी हिन्दू मुसलमान दंगों गोधरा 2002 प्रतिक बोराडे मोदी गांड बातचीत वर्षों,0
महोदय आपकी मेरी पसंद,1
खजान सिंह नंबर मिला,1
अधिक निकर कृप्या देखा सिर्फ हिलने lia,0
तोह जाएं,1
भेनचोद मिलके चुटिया बना मिल,0
हमेशा चाहत espir धन्यवाद,1
कार्तिकेय तुम चूतिए कोर्स किआ,1
femal परंतु आजकल नारीवादी नारीवादी नाटक लगा रखा उदारवादी कहाँ आगे स्तर महिला देख परंतु महिला महिला देख निश्चित रूप घड़ी बड़े सिंह,1
सुई रहो,1
बिक्री नारीवादी आदत डाल लगाने तुम्हारा #mkb httpwwwyoutubecomresultssearch_query=%23mkb agree मारो like,0
गांडू कैंसर दुनिया,0
अरुंधति रॉय बाहर क्रोध होगा,1
तथा dekhe बता,1
<httpsyoutubes_lnnd6gku8> समाचार cover सिर,1
bhaithoda पढ़ा खांसी क्रतू काफी अनपढ़,1
महोदय लल्लनटॉप झुका पास राजदीप महोदय खुदको bhagwan क्यों समझते बहोत समय बोले उल्लू बनाना निकली,1
waw घाव आना किआ वहां,1
आधुनिक etne खाना बनो kee apne संस्कृति hee भूल jayou,1
स्त्रा तुम मित्रता हमसे lop करोगे,1
aap sirf करिये बाकि baatein toh accha,1
soch raha tha गांडू कपूर kaddupan बारे धन्यवाद,1
आईएसएस video sucharita tyagipseudo feminism dkhna chahiyesare answers mil jate usko,1
hamare chore ladki kam ke#pratikbarodehttpwwwyoutubecomresultssearch_query=%23pratikbarode,1
main ladki hun mujhe bora laga kabir preeti thappad marato kyon wah usse pyaar karta bahut jiyada pyaar karta isliye uspar apna haq samajhta hum bora mante jab hamare maa baap hame mare bora kyon mane agar hamara pyaar hame marden,0
sir aap actors naam lete time unka chota pic dikhaya kare pls,1
bas itna bolna tha film film samjh kar dekho usko reality mat samjho,1
1010 bahut movies esi jise aap itni rating dete abb dekhna pdega,1
guys kiya koi mujha place name bol sakta mujha bengali parna ata,1
india iski jagah nhi honi chahiye,1
rand hain,0
galat sabda bola jata actually usko randi bulana chahia,0
gay,0
one dislike chutiya abhi jinda hain,1
tune dkha kya londo,1
bhaitumhri baatein sahi पहुचना rape krne शराब पिके operation krne वले apni dadi sabko सार्वजनिक रूप daantana सरे लड़कों bolna उससे nhi krna बार मिलने सड़क किश क्र लेना yeh कैसे औचित्य साबित करोगे,1
soma सान्याल साली अच्छा पहन नृत्य टिक टॉक uncomfortable isलोल,0
खरगोश magsese पुरस्कार मिलना चाहिए सीखो arnab ravish,1
0725 httpswwwyoutubecomwatchv=n_zmfqmzos0&t=7m25s,1
bahot सारे उदाहरण hindu आतंकी tumlog maante,1
lallntop खुद देख करो दोस्तों,1
फ़िल्म compainion भुगतान krte देखा उल्लू बनाना reviewr साले,1
bakwas,1
अक्षय खन्ना प्रतिभाशाली अभिनेता साल फ़िल्म करनी बिल्कुल,1
बीएस चीजे अच्छी जलती साली निम्नलिखित नुसार,1
बोल ज्यादा विद्वान बनते बीसी लोग।।,0
औचित्य साबित सामने वही हरकते करो बड़े सिंह देखो लोग सोच चोट रहते,1
"""भारत deshdrohi भूमि bhosda"" गाना सुना",0
दोस्तों वीडियो देखें नकल बॉलीवुड <हत्तपःयौतुबेकग़3बिंदड़ज़वे> चैनल सदस्यता लेने,1
achhi खबर,1
तुम्हारी चम्मच,1
kristina वालिस bakhwas,1
अरुंधति रॉय chodne बोहोत मजा aayega,0
दीदी आपकी नारीवादी विचारधारा वाली कहानी चींटी bakki galat कैसे चलेगा दीदी,1
फ़िल्म आपके वीडियो,1
सरे समलैंगिक नौटंकी,1
अंग्रेजों army yeh समलैंगिक अधिकार प्रावधान 2000 शुरू मुलाकात वहां उदार मीडिया राष्ट्रवादी मामूली सिपाही रॉबिन्सन खिलाफत मानना iss नीतियों अंग्रेजों सेना समलैंगिक अड्डा बना रही वास्तविक कर्तव्य भटका rahe गर्व बीआई पिन रावल महोदय proud सीधे तथा स्पष्ट अस्वीकृति। jinko pubg समलैंगिक dating करनी सीमा दूर disciplined सेना है।,0
sahi हमारा समाज kanha तथा परंतु,1
घंटा देखि मैंने बकवास lagi puri विसंगत लगी मतलब उठता cigaret pita शल्य चिकित्सा bad chappal बैठ cigret fuk बाहर banda ladta awara fir टोपर हैवाओ totally इल्लॉजिकललड़की किश kar deta first समय लड़की बोलती मतलब kuch nhi kya tatti banaya moviebaki itni बड़ी badi thoughts bare mereko pta,1
abtak sabse best,1
achi dekha mene,1
aap shits mst aor uski teg line,1
desh bhagatd,1
arundhati roy christian check her history saali khud christian hoke hindu naam use karti hindu muslim propaganda felati arban naxal saali,0
aaj jawab mil gaya inn logo well done bro,1
achchi comedy kar lete,1
mene,1
bat sahi,1
maderchhod amit malviya,0
baliram jha sahi haidar film dialogue yaad dila diya aapne- intekaam sirf intekaam paida hota,1
thanks god mjhe laga mai akela,1
thanks boss ham logo aakh khol sake,1
mujhe ladki chahie main number bhej raha hun number per call karke contact karo6282762067 calling number mujhe call karo kitna,1
ise kehte bari baat chota karke batana,1
चुटिया tha मैंने skip krke dekha chutiya दवाओं गांड बार bakwas,0
बीएसएस mujhe छोर sara बंगाल comments,1
बनछोड़,0
neha तथा बातों jaisi aurat समाज rehne अधिकार nehi,1
"बेशर्म राजदीप डूब मरो। ""पीसफुल प्रोटेस्ट"" हिंसक प्रदर्शनकारियो तुम शांती पूर्ण प्रदर्शन कारी हिंसा कहोगे",1
मिशन मंगल बारे,1
चूतिए बिक्री,1
देश सबको बोलने अधिकार सिर्फ पायल रोहतगी हैं।,1
श्रेष्ठ श्रेष्ठ तथा अक्षय प्रतिभाशाली,1
अनुसार aurot,1
अंशुल jha कहाँ समलैंगिक बुरा हैकाम काम कहाँ दोगले,1
नारीवादी lybrals इंसान,1
फेंकू पार्टी बीजेपी लाइक कांग्रेस कॉमेंट,1
**मजा गया**,1
लगा लगा लगा तथाकथित नारीवादीयों सतह एकदम बिल्कुल तीर लगा,1
प्रतिक बोराडे परंतु खुद बार सेना कोर्ट मामलों उठा क्र देख,1
तेलुगू अरविंद वही करो कृप्या,1
चीज़ सहमत हुgay लोगो प्रति संवेदना परarmy लेने आर्मी लोगो प्रति आदर भाव होगातो विवाद पैदा करेगाऔर आर्मी काम बजाये फालतू विवादों ज्यादा व्यस्त रहेगी।,1
हमे लल्लनटॉप गांड fti पड़ी मुलाकात hogi,0
लोग करे सबकी बहन krte करोगे लल्लनटॉप छोर देगी,0
youtube देखलिया,1
देश ऐसा व्यक्ति बचा जिसको बॉलीवुड प्रभाव ।।।,1
सलाम बंद,1
saale देना आता तुझे जंगली चिकनी हरामखोर,1
मैं जानना feministbat बड़ी बड़ी करती कहाँ ladki िज्जर doye कहाँ falana dimka परंतु सदी चूका उसकाा मित्र मृत्यु जानता उसकी आसान एच। दोनों मंच शादी।,0
बड़े सिंह bollywood चुडिया आपके पास है। साला वालो इज्जत karta,1
liberals मादरचोद feminist बेटीचोद बिक्री दोनों हाशिया,0
नहींरुंडीकेबचीोंकोबोलोोंकेबापकानामब्राउनपिगबोलो,0
देश समाज जागीर अच्छे बुरे लोग क्षेत्र रहेंगे समाज वही बलात्कारी रिश्वतखोर चोर मुनाफाखोर भ्रष्ट वही समलैंगिक इनसे बड़े अपराधी,1
gande फटी पढ़ी बचा,1
चुप randi,0
hahaha,1
बताएगा उदारवादी तथा नारीवादी लोगो post देखने मिलेगा,1
गांझा कानूनी होगा,0
राजा raja बेकरी तुम्हारी बेकरी,1
kunfu kutta बीजेपी कुत्ता arnab boldo,1
all time rock बड़े singh hatter muh इतने logo tatti,1
anpadh bakchod,1
प्रतिक aapne keh aaj enjoyed lot thanks bro,1
g**d maar per goli nhi,1
akhand chutiyapa,0
fidda,1
है।रावत जी।,1
bhaiiiibcmujhe aasa dost chahiye yaarvarna iski tarha bankekaafi longonka best friend banjavunga,1
joy kumar,1
brother abhi abhi aapke reviews dekhne start kiye lekin esaa lag raha aap soch badhava rahe baaki kahi esaa nhi mahol lagta bohot zehar bhara hua aap ander isliye aaka channel unsubscribe raha,1
librelas maaa kaa bhosdaaa,0
jay sree kresna,1
paagal video smoking hui aap kuch kiya,1
530httpswwwyoutubecomwatchv=n_zmfqmzos0&t=5m30s baje utha baje tak parne goal hainfaadne wala,1
संशोदन krna chhahiye army navi and air force act because act एक्ट अंतर्गत जाए unnatural behavior pagal divalipan रखा जाए समलैंगिक पागल behavior nhi krte,1
priyans choudhary kaunsi hamari national language english,1
bollywood har aich dikhata pyar hojae life settle bad responsibilities केश koi nehi देखता this shows लिपि लेखक dettol harpik nasa marta fir बहनचोद उलटी खोपड़ी,0
बड़े सिंह घिसी piti कहानी प्रभाव कहानी लाइन हैंकुछ नया कड़ाही मुख्य,1
उज्जयंत गोस्वामी प्रोफ़ाइल चित्र क्यों परिवर्तन diya वाला ठीक,1
சேரா यारो,1
दीवान उपेंद्र 9250295775,1
चुप bosdike निरक्षर,0
बेशरम जनता लोगों भड़काने आयी,1
कृप्या kariye तमिल,1
"""सुनो पश्चिम आया फेक",1
टट्टी,1
महोदय बढ़िया आपने faministon उत्तर,1
0216 httpswwwyoutubecomwatchv=zzsaudkxq1m&t=2m16s बताने ज़रुरत मुँह खोलते,1
एप्लिकेशन एसी छोड़कर अछि रही यूएसएस वीडियो बनाओ सपना लड़की बधाई बतला मकान दक्षिण हिंदी रही यूएसएस करो ठडंविक्रम வேத 100 जर्सी तुम godacari,1
homosexual अनुमति skata वजह भारतीय सेना kuch गलत परिणाम लिएदूसरा फूल देश भक्ति ज्यादा स्वयं आदर ज्यादा जन्मदिन जाएगीमें देश भक्ति सवाल उठा नाही भारतीय सेना काबिलियत उठा रखने परंतु हमारे भारतीय सेना काफी समय इसलिए पत्नियों रहते चरित्र प्रभाव हैऔर issw दक्षता फर्क pad sakta हैहाँ अलग आवास सुविधाएं प्रशिक्षण प्रदान कराई जाए मुमकिन,0
अनुभाग 375 बकाया परंतु worst कानून अनुभाग औरत मतलब रिश्ता बनाये मर्ज़ी मुताबिक काम बलात्कार घोषित,1
निकल pehli फुरसत निकल,1
।मेरे पिता मादरचोद इतना पुराण ऊपर अंजीर बुलाया अंजीर क्यों भूमि छुड़ा लोगों समय बेकार,0
भ्रामक विश्व,1
देश कसम तेरी सुनके मेरे विचार एकदम संबंध आगये,1
समलैंगिक लोग पाकिस्तान आर्मी जॉइन करें।,1
